dataset,index,layer,learning_rate,optimizer,token_length,match,inversion_time,timesteps,times
token_length_filtered_dataset.csv,6,8,1.0,SGD,20,True,9.261096954345703,12_5_66_2_32_6_7_28_53_4_8_18_27_21_67_32_113_44_51_35,0.17_0.07_0.96_0.03_0.47_0.09_0.10_0.41_0.77_0.06_0.12_0.26_0.39_0.31_0.98_0.47_1.68_0.65_0.76_0.52
token_length_filtered_dataset.csv,7,8,1.0,SGD,20,True,428.88104939460754,43_16_5_13_26_27_39_4_12861_21_32_18_10_12_556_55_38_6_15507_4,0.60_0.23_0.07_0.19_0.38_0.39_0.57_0.06_186.51_0.30_0.46_0.26_0.14_0.17_8.04_0.80_0.56_0.09_229.00_0.06
token_length_filtered_dataset.csv,8,8,1.0,SGD,20,True,35.75861835479736,5_18_36_16_5_4_26_46_296_27_6_7_14_1555_127_7_21_175_48_10,0.07_0.26_0.52_0.23_0.07_0.06_0.38_0.67_4.31_0.39_0.09_0.10_0.20_22.69_1.86_0.10_0.31_2.58_0.71_0.15
token_length_filtered_dataset.csv,9,8,1.0,SGD,20,True,690.4802277088165,12_179_56_37_46376_5_37_69_19_9_12_12_438_30_13_42_64_9_109_8,0.16_2.59_0.81_0.53_673.58_0.07_0.54_1.00_0.28_0.13_0.17_0.18_6.39_0.44_0.19_0.61_0.94_0.13_1.61_0.12
token_length_filtered_dataset.csv,0,1,0.1,SGD,20,True,7.302684545516968,22_53_61_16_52_56_25_36_28_18_25_60_52_27_27_23_36_63_26_10,0.22_0.53_0.62_0.16_0.53_0.57_0.26_0.37_0.29_0.18_0.26_0.61_0.53_0.28_0.27_0.23_0.37_0.66_0.27_0.10
token_length_filtered_dataset.csv,1,1,0.1,SGD,20,True,5.993266820907593,33_17_22_33_41_57_31_10_22_34_23_24_62_42_26_27_22_33_14_16,0.32_0.17_0.22_0.33_0.42_0.58_0.31_0.10_0.22_0.34_0.23_0.24_0.63_0.43_0.26_0.27_0.23_0.35_0.15_0.17
token_length_filtered_dataset.csv,2,1,0.1,SGD,20,True,6.519969463348389,33_23_26_19_60_30_56_37_44_29_14_48_31_36_33_22_28_42_14_16,0.33_0.23_0.26_0.19_0.61_0.30_0.57_0.38_0.45_0.29_0.14_0.49_0.32_0.37_0.33_0.22_0.29_0.44_0.15_0.17
token_length_filtered_dataset.csv,3,1,0.1,SGD,20,True,5.856770277023315,14_38_21_8_10_82_16_60_15_18_16_29_55_43_47_9_16_36_34_10,0.14_0.38_0.21_0.08_0.10_0.83_0.16_0.61_0.15_0.18_0.16_0.29_0.56_0.44_0.48_0.09_0.17_0.37_0.35_0.10
token_length_filtered_dataset.csv,4,1,0.1,SGD,20,True,5.719033479690552,14_10_22_21_22_39_43_37_52_31_20_59_22_13_16_50_32_12_39_10,0.14_0.10_0.22_0.21_0.22_0.40_0.43_0.37_0.53_0.31_0.20_0.60_0.22_0.13_0.16_0.51_0.33_0.12_0.41_0.10
token_length_filtered_dataset.csv,5,1,0.1,SGD,20,True,6.622100353240967,19_28_27_22_47_60_23_13_32_52_39_29_37_66_24_45_21_31_27_10,0.19_0.28_0.27_0.22_0.47_0.61_0.23_0.13_0.32_0.53_0.40_0.29_0.38_0.67_0.24_0.46_0.22_0.32_0.28_0.10
